warm = repeated-launch (L2-inflated if W < ~96 MB); flushed = DRAM-honest (256 MB eviction between samples)
== QKV fused    N=4096 K=2048 | W=33.6 MB ==
  M=512 | rung1 warm   7021.0 flushed   6742.8 | rung2 warm    953.2 flushed   1026.9 us ( 25.09 TFLOPS,  22.5% FFMA,   127 GB/s) | speedup(flushed)  6.57 | tf-gain  6.57
== MLP down     N=2048 K=6144 | W=50.3 MB ==
  M=  1 | rung1 warm     13.4 flushed     19.4 | rung2 warm    445.1 flushed    477.6 us (  0.05 TFLOPS,   0.0% FFMA,   105 GB/s) | speedup(flushed)  0.04 | tf-gain  0.04
  M=  2 | rung1 warm     15.3 flushed     20.7 | rung2 warm    445.5 flushed    478.0 us (  0.11 TFLOPS,   0.1% FFMA,   105 GB/s) | speedup(flushed)  0.04 | tf-gain  0.04
  M=  4 | rung1 warm     21.2 flushed     26.4 | rung2 warm    446.5 flushed    479.4 us (  0.21 TFLOPS,   0.2% FFMA,   105 GB/s) | speedup(flushed)  0.06 | tf-gain  0.06
  M=  8 | rung1 warm     40.2 flushed     44.4 | rung2 warm    449.1 flushed    483.5 us (  0.42 TFLOPS,   0.4% FFMA,   105 GB/s) | speedup(flushed)  0.09 | tf-gain  0.09
  M= 16 | rung1 warm     86.4 flushed     89.9 | rung2 warm    459.4 flushed    496.2 us (  0.81 TFLOPS,   0.7% FFMA,   102 GB/s) | speedup(flushed)  0.18 | tf-gain  0.18
  M= 32 | rung1 warm    218.6 flushed    223.8 | rung2 warm    460.2 flushed    538.4 us (  1.50 TFLOPS,   1.3% FFMA,    95 GB/s) | speedup(flushed)  0.42 | tf-gain  0.42
  M= 64 | rung1 warm    557.5 flushed    533.7 | rung2 warm    465.1 flushed    502.3 us (  3.21 TFLOPS,   2.9% FFMA,   104 GB/s) | speedup(flushed)  1.06 | tf-gain  1.06
  M=128 | rung1 warm   1261.6 flushed    879.4 | rung2 warm    489.7 flushed    717.6 us (  4.49 TFLOPS,   4.0% FFMA,    76 GB/s) | speedup(flushed)  1.23 | tf-gain  1.23
  M=256 | rung1 warm   2501.7 flushed   1225.6 | rung2 warm    489.7 flushed    711.5 us (  9.05 TFLOPS,   8.1% FFMA,    83 GB/s) | speedup(flushed)  1.72 | tf-gain  1.72
  M=512 | rung1 warm   5391.2 flushed   4572.5 | rung2 warm    490.7 flushed    718.8 us ( 17.92 TFLOPS,  16.1% FFMA,    93 GB/s) | speedup(flushed)  6.36 | tf-gain  6.36
== LM head      N=151936 K=2048 | W=1244.7 MB ==
